order_id,customer_id,product,category,price,quantity,city,date
1001,C101,laptop,Electronics,55000,1,Delhi,2024-01-05
1002,C102,phone,Electronics,20000,2,Mumbai,2024-01-06
1003,C103,shoes,Fashion,3000,1,Pune,2024-01-07
1004,C101,headphones,Electronics,2000,3,Delhi,2024-01-07
1005,C104,tshirt,Fashion,800,2,Bangalore,2024-01-08
1006,C105,watch,Accessories,2500,1,Chennai,2024-01-09
1007,C102,laptop,Electronics,60000,1,Mumbai,2024-01-10
1008,C106,backpack,Accessories,1500,2,Delhi,2024-01-10
1009,C103,phone,Electronics,18000,1,Pune,2024-01-11
1010,C104,shoes,Fashion,3500,1,Bangalore,2024-01-11
